gid	gname	t0	t5	t10	t15	t20	t25	t30	t35	t40	t45	t50	t55	t60	t65	t70	t75	t80	t85	t90	t95	t100	t105	t110	t115	t120
YOR327C	SNC2	-0.1473	-0.004885	0.1146	0.2084	0.2713	0.3026	0.3062	0.2891	0.2501	0.1816	0.05552	-0.1002	-0.2101	-0.2325	-0.1949	-0.1253	-0.02335	0.08683	0.1411	0.1065	0.02363	-0.06127	-0.1339	-0.2074	-0.277
YOR328W	PDR10	-0.01046	-0.02767	-0.03834	-0.04396	-0.03986	-0.0282	-0.02068	-0.02084	-0.02377	-0.02845	-0.03782	-0.0511	-0.06168	-0.07313	-0.08467	-0.08307	-0.05112	-0.004085	0.02248	0.006963	-0.03089	-0.06455	-0.08596	-0.1018	-0.1075
YOR329C	SCD5	0.5197	0.4909	0.4493	0.3979	0.335	0.2656	0.2027	0.1437	0.08935	0.0578	0.06178	0.07968	0.0782	0.04142	-0.00356	-0.02554	0.001468	0.05357	0.08717	0.08251	0.06572	0.06201	0.07727	0.1031	0.1433
YOR330C	MIP1	-0.212	-0.3864	-0.4747	-0.4913	-0.4082	-0.2555	-0.1345	-0.08955	-0.08727	-0.1128	-0.1823	-0.2861	-0.3709	-0.4012	-0.3872	-0.3448	-0.2862	-0.228	-0.192	-0.186	-0.1869	-0.1692	-0.128	-0.07813	-0.02477
YOR331C		0.2716	0.2106	0.1598	0.1176	0.08389	0.058	0.03783	0.02844	0.02846	0.02619	0.01286	-0.009599	-0.03682	-0.06471	-0.08481	-0.08617	-0.04916	0.003906	0.02113	-0.03622	-0.1307	-0.2	-0.2241	-0.218	-0.1716
YOR332W	VMA4	0.3941	0.2711	0.1803	0.1207	0.103	0.1172	0.1316	0.1366	0.1376	0.1254	0.09373	0.05191	0.01352	-0.01979	-0.0476	-0.05816	-0.06355	-0.06054	-0.01445	0.1125	0.2757	0.3859	0.4172	0.394	0.3029
YOR333C		-0.2432	-0.2314	-0.2017	-0.164	-0.1201	-0.07787	-0.05633	-0.06451	-0.08335	-0.08975	-0.07831	-0.06527	-0.0599	-0.07027	-0.09283	-0.1194	-0.1256	-0.118	-0.1352	-0.2095	-0.3087	-0.3749	-0.3918	-0.3736	-0.308
YOR334W	MRS2	-0.3786	-0.2294	-0.1147	-0.03785	-0.02251	-0.05908	-0.1012	-0.1182	-0.1176	-0.1099	-0.1109	-0.1179	-0.1138	-0.07625	-0.01998	0.01615	0.01027	-0.02438	-0.07406	-0.134	-0.1982	-0.2513	-0.2879	-0.3123	-0.3231
YOR335C	ALA1	-0.06027	-0.1593	-0.2254	-0.2625	-0.263	-0.2377	-0.2183	-0.2152	-0.2151	-0.2142	-0.21	-0.2058	-0.2066	-0.2182	-0.2352	-0.2458	-0.2411	-0.2289	-0.222	-0.2304	-0.2492	-0.2686	-0.285	-0.2985	-0.306
YOR336W	KRE5	0.07617	0.123	0.146	0.1486	0.1154	0.05693	0.01636	0.01961	0.04525	0.06535	0.07119	0.07325	0.07235	0.07124	0.07063	0.06835	0.06276	0.05604	0.05176	0.05675	0.07122	0.08872	0.1056	0.1202	0.1286
YOR337W	TEA1	-0.2813	-0.2844	-0.2618	-0.216	-0.1233	0.001322	0.09685	0.131	0.1201	0.07573	-0.003778	-0.09936	-0.1682	-0.1833	-0.1733	-0.1788	-0.2169	-0.2713	-0.3323	-0.407	-0.4777	-0.4981	-0.4567	-0.3703	-0.2343
YOR338W		-0.6115	-0.7923	-0.8905	-0.9285	-0.9079	-0.8585	-0.8454	-0.8736	-0.9042	-0.9359	-0.9877	-1.056	-1.105	-1.101	-1.055	-1.001	-0.9636	-0.9519	-0.9736	-1.037	-1.111	-1.147	-1.134	-1.099	-1.047
YOR339C	UBC11	-0.3623	-0.4513	-0.495	-0.504	-0.4725	-0.4169	-0.3806	-0.3694	-0.3648	-0.3744	-0.4132	-0.4718	-0.5214	-0.5475	-0.5624	-0.5777	-0.6055	-0.6365	-0.6502	-0.6267	-0.5904	-0.5879	-0.6343	-0.7163	-0.8384
YOR340C	RPA43	-0.3246	-0.3472	-0.3618	-0.3608	-0.3245	-0.2504	-0.1574	-0.05212	0.04586	0.09795	0.08285	0.02441	-0.04819	-0.1448	-0.2589	-0.3366	-0.3576	-0.3462	-0.3155	-0.2606	-0.1974	-0.1693	-0.1874	-0.2362	-0.3198
